"id_fonte","numero_pubblicazione","tipo_atto","numero_atto","data_atto","oggetto","data_pubblicazione","data_scadenza","url_documento","allegati"
"1","1284/2023","Determine Dirigenziali","","2023-12-13","Impegno di spesa e contestuale affidamento lavori di manutenzione ordinaria e straordinaria nella Sede Comunale.-","2023-12-13","2023-12-28","http://albosquillace.asmenet.it/allegati.php?id_doc=13101258&sez=&data1=13/12/2023&data2=28/12/2023","allegati/fonte1/1284/2023/- Det_n°828_del_12.12.2023.pdf"
"1","1283/2023","avvisi vari","","2023-12-12","Avviso pubblico di manifestazione di interesse per l'affidamento della gestione in concessione degli impianti sportivi comunali, privi di rilevanza economica: campo di calcetto e campo di bocce a Squillace Lido.-","2023-12-12","2024-01-11","http://albosquillace.asmenet.it/allegati.php?id_doc=12131217&sez=&data1=12/12/2023&data2=11/01/2024","allegati/fonte1/1283/2023/- Avviso pubblico Manifestazione interesse.pdf,allegati/fonte1/1283/2023/- Allegato 1 - Istanza di partecipazione.pdf,allegati/fonte1/1283/2023/- Allegato 2 - Offerta economica.pdf"
"1","1282/2023","Bandi di gara - Esiti gare e appalti","","2023-12-12","Avviso pubblico di manifestazione di interesse per l'affidamento della gestione in concessione degli impianti sportivi comunali, privi di rilevanza economica: campo di calcetto e campo di bocce a Squillace Lido.-","2023-12-12","2024-01-11","http://albosquillace.asmenet.it/allegati.php?id_doc=12121225&sez=&data1=12/12/2023&data2=11/01/2024","allegati/fonte1/1282/2023/- Avviso pubblico Manifestazione interesse.pdf,allegati/fonte1/1282/2023/- Allegato 1 - Istanza di partecipazione.pdf,allegati/fonte1/1282/2023/- Allegato 2 - Offerta economica.pdf"
"1","1281/2023","Determine Dirigenziali","","2023-12-12","Affidamento della gestione in concessione degli impianti sportivi comunali, privi di rilevanza economica: campo di calcetto e campo di bocce a Squillace Lido. Determina a contrarre ed Approvazione avviso pubblico e relativi allegati.-","2023-12-12","2024-01-11","http://albosquillace.asmenet.it/allegati.php?id_doc=12121206&sez=&data1=12/12/2023&data2=11/01/2024","allegati/fonte1/1281/2023/- Det. n. 827 del 12.12.2023.pdf,allegati/fonte1/1281/2023/- Schema Avviso pubblico.pdf,allegati/fonte1/1281/2023/- Allegato 1 - Istanza di partecipazione.pdf,allegati/fonte1/1281/2023/- Allegato 2 - Offerta economica.pdf"
"1","1280/2023","Determine Dirigenziali","","2023-12-12","Conferenza di Servizi decisoria ex art. 14, c. 2 e art. 14bis della Legge n° 241/1990.  Forma semplificata modalità asincrona per una “Richiesta di Progetto per l'adeguamento infrastrutturale da parte di Wind Tre S.p.A.  e l’adeguamento tecnologico della Stazione Radio Base di Zefiro Net S.r.l. Codice e nome sito: CZ317  SQUILLACE LIDO”. 
Determinazione conclusiva, con parere favorevole, della Conferenza di Servizi decisoria.-","2023-12-12","2024-01-11","http://albosquillace.asmenet.it/allegati.php?id_doc=12111241&sez=&data1=12/12/2023&data2=11/01/2024","allegati/fonte1/1280/2023/- DET.N. 826_2023.pdf,allegati/fonte1/1280/2023/- Verbale n. 1.pdf"
"1","1277/2023","Determine Dirigenziali","","2023-12-11","Impegno di spesa - Interventi di manutenzione straordinaria per la riparazione del gruppo pompe gemellare della centrale termica presso la Scuola Secondaria di I grado a Squillace in via Damiano Assanti - Ditta De Santis Acqua, Clima, Energia srl.-","2023-12-11","2023-12-26","http://albosquillace.asmenet.it/allegati.php?id_doc=11131240&sez=&data1=11/12/2023&data2=26/12/2023","allegati/fonte1/1277/2023/- Det_n°824_del_11.12.2023.pdf"
"1","1276/2023","Determine Dirigenziali","","2023-12-11","Impegno di Spesa ed Affidamento incarico Servizio Attivazione e gestione degli impianti di riscaldamento-climatizzazione degli immobili comunali, periodo di esercizio dal 01.11.2023 al 15.09.2024 - Ditta De Santis Acqua, Clima, Energia srl.-","2023-12-11","2023-12-26","http://albosquillace.asmenet.it/allegati.php?id_doc=11121206&sez=&data1=11/12/2023&data2=26/12/2023","allegati/fonte1/1276/2023/- Det_n°823_del_11.12.2023.pdf"
"1","1275/2023","Determine Dirigenziali","","2023-12-11","Impegno di spesa - Affidamento allestimento luminarie “Festività natalizie 2023” - Ditta Tavano Giuseppe s.r.l. –","2023-12-11","2023-12-26","http://albosquillace.asmenet.it/allegati.php?id_doc=11121230&sez=&data1=11/12/2023&data2=26/12/2023","allegati/fonte1/1275/2023/- Det_n°882 del_11.12.2023.pdf"
"1","1274/2023","Determine Dirigenziali","","2023-12-11","Impegno di spesa e contestuale affidamento lavori di manutenzione ordinaria agli impianti comunali di pubblica illuminazione - Ditta Tavano Giuseppe s.r.l.-","2023-12-11","2023-12-26","http://albosquillace.asmenet.it/allegati.php?id_doc=11121233&sez=&data1=11/12/2023&data2=26/12/2023","allegati/fonte1/1274/2023/- Determina 820 Impegno Tavano.pdf"
"1","1273/2023","Determine Dirigenziali","","2023-12-11","Affidamento incarico professionale per attività catastali su diversi immobili di proprietà comunale.-","2023-12-11","2023-12-26","http://albosquillace.asmenet.it/allegati.php?id_doc=11091217&sez=&data1=11/12/2023&data2=26/12/2023","allegati/fonte1/1273/2023/- Det_n°819_del_11.12.2023.pdf"
"1","1272/2023","Determine Dirigenziali","","2023-12-11","Liquidazione di Spesa – Per intervento Autospurgo - Ditta Sandro Greco srl.-","2023-12-11","2023-12-26","http://albosquillace.asmenet.it/allegati.php?id_doc=11091251&sez=&data1=11/12/2023&data2=26/12/2023","allegati/fonte1/1272/2023/- Determina 818 Liquidazione Sandro Greco.pdf"
"1","1271/2023","avvisi vari","","2023-12-07","Avviso depèosito atti nella casa comunale a nome di SO.G.E.T. S.p.A.","2023-12-07","2023-12-08","http://albosquillace.asmenet.it/allegati.php?id_doc=7131209&sez=&data1=07/12/2023&data2=08/12/2023","allegati/fonte1/1271/2023/- prot. n. 7085.pdf"
"1","1270/2023","avvisi vari","","2023-12-07","Avviso depèosito atti nella casa comunale a nome di SO.G.E.T. S.p.A.","2023-12-07","2023-12-08","http://albosquillace.asmenet.it/allegati.php?id_doc=7131238&sez=&data1=07/12/2023&data2=08/12/2023","allegati/fonte1/1270/2023/- prot. n. 7084.pdf"
