tipo,oggetto,numero_atto,data_atto,doc_principale_url,allegati,data_atto_normalizzata
"1170

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Atto di citazione... Trib. di Cz.. Cassiodoro srl..../Comune di Squillace - Atto di indirizzo -.,159,29/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1593,"allegati/fonte2/159/Delibera_n_159_Documento_Principale.pdf,allegati/fonte2/159/Del. n. 159_24.pdf",2024-11-29
"1169

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Nota di aggiornamento al Documento Unico di Programmazione (DUP)- periodo 2025/2027 .....,147,19/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1591,"allegati/fonte2/147/Delibera_n_147_Documento_Principale.pdf,allegati/fonte2/147/Del. G.C. n. 147_24.pdf,allegati/fonte2/147/Allegato - All. del. G. C. 147_24.pdf",2024-11-19
"1168

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Proroga tecnica del Servizio di Tesoreria comunale per il periodo: 0101.2025 al 30.06.2025 -.,158,29/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1590,"allegati/fonte2/158/Delibera_n_158_Documento_Principale.pdf,allegati/fonte2/158/Del.G.C. n. 158_24.pdf",2024-11-29
"1130

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Voucher spese natalizie - Determinazioni -.,155,29/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1477,"allegati/fonte2/155/Delibera_n_155_Documento_Principale.pdf,allegati/fonte2/155/Del. G. C. n. 155_24.pdf",2024-11-29
"1129

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Servizi pubblici a domanda individuale. Determinazione delle tariffe..... anno 2025 -.,146,19/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1476,"allegati/fonte2/146/Delibera_n_146_Documento_Principale.pdf,allegati/fonte2/146/Del. G.C. n. 146_24.pdf",2024-11-19
"1125

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Fondazione Città Solidale Onlus - Richiesta adesione partenariato - Determinazioni -.,148,29/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1472,"allegati/fonte2/148/Delibera_n_148_Documento_Principale.pdf,allegati/fonte2/148/Del. G.C. n. 148_24.pdf",2024-11-29
"1124

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Manifestazioni natalizie anno 2024 - Determinazioni -.,157,29/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1471,"allegati/fonte2/157/Delibera_n_157_Documento_Principale.pdf,allegati/fonte2/157/Del. G.C. n. 157_24.pdf",2024-11-29
"1123

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Prelevamento del fondo di riserva ....,152,29/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1469,"allegati/fonte2/152/Delibera_n_152_Documento_Principale.pdf,allegati/fonte2/152/Del. G.C. 152_24.pdf,allegati/fonte2/152/Allegato - All. G.C. 152.pdf",2024-11-29
"1122

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Proposta di adesione al RO ..... Procedura semplificata ....,156,29/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1468,"allegati/fonte2/156/Delibera_n_156_Documento_Principale.pdf,allegati/fonte2/156/Del. G.C. n. 156_24.pdf",2024-11-29
"1121

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Variazione d'urgenza al bilancio di previsione finanziario 2024/2026 ....,151,29/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1465,"allegati/fonte2/151/Delibera_n_151_Documento_Principale.pdf,allegati/fonte2/151/Del. G.C. n. 151_24.pdf,allegati/fonte2/151/Allegato - Alleg. 151.pdf,allegati/fonte2/151/Allegato - All. G.C. 151.pdf",2024-11-29
"1091

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Lavori di ""Adeguamento funzionale degli impianti di depurazione a fanghi attivi siti in loc. Poveromo, loc. Madonna del Ponte e loc. Donnatolla. Realizzazione nuovo impianto compatto a fanghi attivi in loc. Fiasco Baldaia (600 a.e.) e dismissione dell'esistente"". Approvazione rimodulazione progetto esecutivo",136,28/10/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1400,"allegati/fonte2/136/Delibera_n_136_Documento_Principale.pdf,allegati/fonte2/136/Delibera Approvazione rimodulazione progetto esecutivo.pdf",2024-10-28
